stn_code,mrt_station_english,mrt_line_english,line_commencement
NS1,Jurong East,North South Line ,1990
NS2,Bukit Batok,North South Line,1990
NS3,Bukit Gombak,North South Line,1990
NS4,Choa Chu Kang,North South Line,1990
NS5,Yew Tee,North South Line,1996
NS7,Kranji,North South Line,1996
NS8,Marsiling,North South Line,1996
NS9,Woodlands,North South Line,1996
NS10,Admiralty,North South Line,1996
NS11,Sembawang,North South Line,1996
NS12,Canberra,North South Line,2019
NS13,Yishun,North South Line,1988
NS14,Khatib,North South Line,1988
NS15,Yio Chu Kang,North South Line,1987
NS16,Ang Mo Kio,North South Line,1987
NS17,Bishan,North South Line,1987
NS18,Braddell,North South Line,1987
NS19,Toa Payoh,North South Line,1987
NS20,Novena,North South Line,1987
NS21,Newton,North South Line,1987
NS22,Orchard,North South Line,1987
NS23,Somerset,North South Line,1987
NS24,Dhoby Ghaut,North South Line,1987
NS25,City Hall,North South Line,1987
NS26,Raffles Place,North South Line,1987
NS27,Marina Bay,North South Line,1987
NS28,Marina South Pier,North South Line,2014
EW1,Pasir Ris,East West Line,1989
EW2,Tampines,East West Line,1989
EW3,Simei,East West Line,1989
EW4,Tanah Merah,East West Line,1989
EW5,Bedok,East West Line,1989
EW6,Kembangan,East West Line,1989
EW7,Eunos,East West Line,1989
EW8,Paya Lebar,East West Line,1989
EW9,Aljunied,East West Line,1989
EW10,Kallang,East West Line,1989
EW11,Lavender,East West Line,1989
EW12,Bugis,East West Line,1989
EW13,City Hall,East West Line,1987
EW14,Raffles Place,East West Line,1987
EW15,Tanjong Pagar,East West Line,1987
EW16,Outram Park,East West Line,1987
EW17,Tiong Bahru,East West Line,1988
EW18,Redhill,East West Line,1988
EW19,Queenstown,East West Line,1988
EW20,Commonwealth,East West Line,1988
EW21,Buona Vista,East West Line,1988
EW22,Dover,East West Line,2001
EW23,Clementi,East West Line,1988
EW24,Jurong East,East West Line,1988
EW25,Chinese Garden,East West Line,1988
EW26,Lakeside,East West Line,1988
EW27,Boon Lay,East West Line,1990
EW28,Pioneer,East West Line,1987
EW29,Joo Koon,East West Line,2017
EW30,Gul Circle,East West Line,2017
EW31,Tuas Crescent,East West Line,2017
EW32,Tuas West Road,East West Line,2017
EW33,Tuas Link,East West Line,2017
CG1,Expo,Changi Airport Branch Line,2001
CG2,Changi Airport,Changi Airport Branch Line,2001
NE1,HarbourFront,North East Line,2003
NE3,Outram Park,North East Line,2003
NE4,Chinatown,North East Line,2003
NE5,Clarke Quay,North East Line,2003
NE6,Dhoby Ghaut,North East Line,2003
NE7,Little India,North East Line,2003
NE8,Farrer Park,North East Line,2003
NE9,Boon Keng,North East Line,2003
NE10,Potong Pasir,North East Line,2003
NE11,Woodleigh,North East Line,2011
NE12,Serangoon,North East Line,2003
NE13,Kovan,North East Line,2003
NE14,Hougang,North East Line,2003
NE15,Buangkok,North East Line,2006
NE16,Sengkang,North East Line,2003
NE17,Punggol,North East Line,2003
CC1,Dhoby Ghaut,Circle Line,2010
CC2,Bras Basah,Circle Line,2010
CC3,Esplanade,Circle Line,2010
CC4,Promenade,Circle Line,2010
CC5,Nicoll Highway,Circle Line,2010
CC6,Stadium,Circle Line,2010
CC7,Mountbatten,Circle Line,2010
CC8,Dakota,Circle Line,2010
CC9,Paya Lebar,Circle Line,2010
CC10,MacPherson,Circle Line,2010
CC11,Tai Seng,Circle Line,2010
CC12,Bartley,Circle Line,2009
CC13,Serangoon,Circle Line,2009
CC14,Lorong Chuan,Circle Line,2009
CC15,Bishan,Circle Line,2009
CC16,Marymount,Circle Line,2009
CC17,Caldecott,Circle Line,2011
CC19,Botanic Gardens,Circle Line,2011
CC20,Farrer Road,Circle Line,2011
CC21,Holland Village,Circle Line,2011
CC22,Buona Vista,Circle Line,2011
CC23,one-north,Circle Line,2011
CC24,Kent Ridge,Circle Line,2011
CC25,Haw Par Villa,Circle Line,2011
CC26,Pasir Panjang,Circle Line,2011
CC27,Labrador Park,Circle Line,2011
CC28,Telok Blangah,Circle Line,2011
CC29,HarbourFront,Circle Line,2011
CE1,Bayfront,Circle Line Extension,2012
CE2,Marina Bay,Circle Line Extension,2012
DT1,Bukit Panjang,Downtown Line,2015
DT2,Cashew,Downtown Line,2015
DT3,Hillview,Downtown Line,2015
DT5,Beauty World,Downtown Line,2015
DT6,King Albert Park,Downtown Line,2015
DT7,Sixth Avenue,Downtown Line,2015
DT8,Tan Kah Kee,Downtown Line,2015
DT9,Botanic Gardens,Downtown Line,2015
DT10,Stevens,Downtown Line,2015
DT11,Newton,Downtown Line,2015
DT12,Little India,Downtown Line,2015
DT13,Rochor,Downtown Line,2015
DT14,Bugis,Downtown Line,2013
DT15,Promenade,Downtown Line,2013
DT16,Bayfront,Downtown Line,2013
DT17,Downtown,Downtown Line,2013
DT18,Telok Ayer,Downtown Line,2013
DT19,Chinatown,Downtown Line,2013
DT20,Fort Canning,Downtown Line,2017
DT21,Bencoolen,Downtown Line,2017
DT22,Jalan Besar,Downtown Line,2017
DT23,Bendemeer,Downtown Line,2017
DT24,Geylang Bahru,Downtown Line,2017
DT25,Mattar,Downtown Line,2017
DT26,MacPherson,Downtown Line,2017
DT27,Ubi,Downtown Line,2017
DT28,Kaki Bukit,Downtown Line,2017
DT29,Bedok North,Downtown Line,2017
DT30,Bedok Reservoir,Downtown Line,2017
DT31,Tampines West,Downtown Line,2017
DT32,Tampines,Downtown Line,2017
DT33,Tampines East,Downtown Line,2017
DT34,Upper Changi,Downtown Line,2017
DT35,Expo,Downtown Line,2017
TE1,Woodlands North,Thomson-East Coast Line,2020
