mall_name,mall_commencement
100 AM,2019
600 @ Toa Payoh,1972
Anchorpoint,1997
Beauty World Centre,1984
Beauty World Plaza,1984
Bedok Point,2010
Causeway Point,1998
Century Square,1995
Change Alley,1980
City Square Mall,2009
City Vibe,2011
CityLink Mall,2000
Clementi Mall,2011
EastPoint Mall,1996
ERA APAC Centre,1972
FairPrice Hub,2015
Forum The Shopping Mall,1986
Fu Lu Shou Complex,1983
Holland Road Shopping Centre,1980
Holland Piazza,2018
Hougang 1,1999
Hougang Mall,1997
IMM,1991
Jem,2013
KINEX,2018
Leisure Park Kallang,1982
Lot One,1996
Marina Bay Link Mall,2010
Mustafa Centre,1995
myVillage @ Serangoon,2010
nex,2010
Northpoint City,1992
Orchard Central,2009
Paya Lebar Square,2019
Plaza Singapura,1974
Queensway Shopping Centre,1976
Rivervale Mall,2000
Rochester Mall,2012
Seletar Mall,2014
Sembawang Shopping Centre,1997
Sim Lim Square,1987
Sim Lim Tower,1987
Stamford House,1904
The CentrePoint,1983
The Majestic,1928
The Star Vista,2012
Tampines 1,2009
Tampines Mall,1995
Tekka Centre,1982
Thomson Plaza,1979
Upper Serangoon Shopping Centre,1981
VivoCity,2007
West Mall,1998
White Sands,1996
Wisma Geylang Serai,2019
Yew Tee Point,1995
313@Somerset,2009
AMK Hub,2007
Alexandra Retail Centre,2011
Bedok Mall,2013
Bugis Junction,1995
Bugis+,2009
Bukit Panjang Plaza,1998
Capitol Piazza,2015
Changi City Point,2010
Chinatown Point,1990
Clarke Quay Central,1997
Claymore Connect,2015
Compass One,2002
Djitsun Mall Bedok,2013
Djitsun Mall,2013
Esplanade Mall,2002
Far East Plaza,1982
Funan,2019
Golden Mile Complex,1973
Great World,1929
HarbourFront Centre,2003
Hillion Mall,2013
ION Orchard,2009
International Plaza,1976
JCube,2012
Jewel Changi Airport,2019
Junction 8,1993
Junction 10,1998
Junction Nine,2017
Jurong Point,1995
Kallang Wave Mall,2014
Katong Shopping Centre,1971
Lucky Plaza,1981
Mandarin Gallery,1973
The Shoppes at Marina Bay Sands,2011
Marina Square,1985
Millenia Walk,1993
Ngee Ann City,1993
Novena Square,2000
One Raffles Place,1980
Orchard Gateway,2014
Orchard Towers,1975
PLQ Mall,2019
Palais Renaissance,1993
Parkway Parade,1984
Peninsula Plaza,1979
People's Park Centre,1973
People's Park Complex,1973
Raffles City Shopping Centre,1986
Shaw House and Centre,1972
SingPost Centre,2017
South Beach,1913
Square 2,2007
Sun Plaza,2000
Suntec City Mall,1997
Tang Plaza,1982
Tekka Place,2019
The Concourse,1994
The Paragon,1999
Tiong Bahru Plaza,1994
United Square,1980
Valley Point,1988
Waterway Point,2016
West Coast Plaza,1992
Westgate,1969
Wheelock Place,1994
Wisma Atria,1986
Wisteria Mall,2019
i12 Katong,2011
